ID,Solutionlist,Savedsolutions,Savedobjectives,parametername,parameterbounds,objectivebounds,objectivename,parameter_timestamp,objective_timestamp,prolific_ID,saved_timestamp,objectiveminmax,ismanual,taskdescription,chosen_solution,start_timestamp,tutorial,randomizerstatus,pass,tutorial_timestamp
178,"""""","""""","""""","""Potatoes/1,Tomatoes""","""3,10,3,5""","""1,2,2,3""","""e/e,1/e""","""""","""2024-09-19 11:27:15""",66d9ac049565554d01317465,"""""","""minimize,minimize""",0,"""""","""""","""2024-09-19 11:26:19""","""2""",2,0,"""2024-09-19 11:25:57"""
179,"""9,10,3,8,7,2,7,8,3,12,6,2,11,8,2,7,5,3,8,9,2,10,7,3,11,5,2,7,5,3,8,6,3,12,6,2,7,5,3,7,5,3,7,5,3,7,5,3""","""9,10,3,8,7,2,7,8,3,12,6,2,11,8,2,7,5,3,8,9,2,10,7,3,11,5,2,8,6,3,12,6,2,7,5,3,7,5,3,7,5,3""","""6,4,3,8,4,2,7,5,3,5,5,3,8,5,3,8,5,2,8,5,3,6,4,3,6,5,3,8,5,3,8,4,3,4,4,2,7,5,3,7,4,3""","""Caloric Intake,Dietary Preferences,Hydration""","""6,12,5,10,2,3""","""4,8,3,5,2,3""","""Caloric Intake,Sustainability,Hydration""","""""","""2024-09-19 11:50:13""",667ac79f9d9613f8caa2e7e4,"""2024-09-19 12:11:21""","""minimize,maximize,minimize""",0,"""""","""11""","""2024-09-19 11:24:47""","""1""",1,3,"""2024-09-19 11:30:15"""
180,"""70,15,50,10,80,5,60,10,90,18,68,20,85,17,68,15,75,20,95,5""","""70,15,50,10,80,5,60,10,90,18,68,20,85,17,68,15,75,20,95,5""","""70,20,57,30,45,35,65,40,50,12,65,32,78,15,56,24,75,35,95,5""","""Vegetables/kg,Fibre/kg""","""10,100,5,20""","""10,100,5,50""","""Dietary need/kg,Dietary requirement/kg""","""""","""2024-09-19 11:57:47""",662e3e72d494903379b6956a,"""2024-09-19 12:05:47""","""maximize,minimize""",1,"""""","""""","""2024-09-19 11:48:59""","""2""",2,3,""""""
181,"""1800,80,1500,100,2000,60,1700,90,2500,70,2200,85,1600,110,1900,75,2100,95,1800,85""","""1800,80,1500,100,2000,60,1700,90,2500,70,2200,85,1600,110,1900,75,2100,95,1800,85""","""1,8,1.2,7,0.8,9,1.1,8,0.5,7,0.9,8,1.3,6,1,9,0.7,8,1.2,7""","""Daily Calorie Intake/KCAL,Protein Intake/Grams""","""1200,3000,25,200""","""0.5,2,5,10""","""Weight Loss/KG,Health/Scale 1-10""","""""","""2024-09-19 12:04:12""",5c4f5967aac8be0001716a65,"""2024-09-19 12:10:01""","""minimize,minimize""",1,"""""","""4""","""2024-09-19 11:59:47""","""2""",1,3,""""""
182,"""1249,23,3,2111,17,5,2343,29,4,1667,22,6,1779,27,4,2220,20,2,1986,25,5,1364,18,3,1375,16,4,1652,26,4,2440,18,2,2480,19,3,1594,17,6,1446,24,5,2316,17,5,1327,23,3,2024,28,5,2497,16,3,1500,17,3,1389,29,5,1812,27,4,1765,26,4,1387,15,4,1346,15,4,1295,15,4,1234,15,3,1581,28,4""","""1249,23,3,2111,17,5,2343,29,4,1667,22,6,1779,27,4,2220,20,2,1986,25,5,1364,18,3,1812,27,4,1765,26,4,1387,15,4,1346,15,4,1295,15,4,1234,15,3""","""0.33,85,0.25,90,0.33,95,0.4,90,0.35,93,0.25,80,0.25,91,0.5,88,0.3,92,0.4,90,0.6,85,0.65,82,0.7,80,0.8,80""","""Caloric Intake/kcal/day,Protein intake/% (of total daily intake),Meal Frequency/num of snacks""","""1200,2500,15,30,2,6""","""0.25,1,80,100""","""Weight Loss Rate/kg/week,Nutritional Adequacy/%""","""""","""2024-09-20 00:28:16""",6522a42f39b5bd8f96735aa9,"""2024-09-20 00:36:09""","""maximize,maximize""",0,"""""","""13""","""2024-09-20 00:15:41""","""2""",2,3,"""2024-09-20 00:15:10"""
183,"""""","""""","""""","""""","""""","""""","""""","""""","""""",aa,"""""","""""",0,"""""","""""","""2024-09-20 00:13:28""","""1""",1,3,"""2024-09-20 00:15:07"""
184,"""""","""""","""""","""sdfasdf""","""2,2222""","""2,222""","""asdfa""","""""","""2024-09-19 12:50:51""",ismanualornot?,"""""","""minimize""",1,"""""","""""","""2024-09-19 12:50:06""","""1""",2,3,"""2024-09-19 12:50:25"""
185,"""""","""""","""""","""""","""""","""""","""""","""""","""""",5fd8ea198512a801831f6b85,"""""","""""",1,"""""","""""","""2024-09-19 12:51:57""","""1""",1,0,"""2024-09-19 12:56:53"""
186,"""1500,1.5,1700,1.7,1800,2,1800,1.6,1600,2,2000,1.5,1500,2.2,1700,1.8,1800,1.8,1800,1.8""","""1500,1.5,1700,1.7,1800,2,1800,1.6,1600,2,2000,1.5,1500,2.2,1700,1.8,1800,1.8,1800,1.8""","""0.7,90,0.6,93,0.7,95,0.7,90,0.8,92,0.6,88,0.9,95,0.7,91,0.7,90,0.75,90""","""Daily Caloric Intake/kcal,Protein Intake/g""","""1200,2500,1.2,2.2""","""0.5,1,85,100""","""Weight Loss/kg per week,Muscle Retention/Percentage of lean body mass preserved""","""""","""2024-09-19 12:59:55""",663e2c0bd0a94ff6871d5ac2,"""2024-09-19 13:09:11""","""maximize,maximize""",1,"""""","""""","""2024-09-19 12:54:17""","""2""",2,3,""""""
187,"""5,20,7,21,8,26,9,29,6,33,26,27,8,25,9,39,29,38,23,23""","""5,20,7,21,8,26,9,29,6,33,26,27,8,25,9,39,29,38,23,23""","""4,8,2,8,6,8,8,8,3,15,8,10,6,9,6,7,5,17,5,16""","""Carbs/Gr,Protein/Gr""","""5,30,20,40""","""1,10,5,20""","""Cost/Euro,Time Cooking/Min""","""""","""2024-09-19 12:58:14""",66c345f84e186e08e5b3d69c,"""2024-09-19 13:01:18""","""minimize,minimize""",1,"""""","""1""","""2024-09-19 12:55:14""","""2""",1,3,""""""
188,"""""","""""","""""","""""","""""","""""","""""","""""","""""",668aeea31e1c6db3449f15cf,"""""","""""",1,"""""","""""","""""","""""",2,3,""""""
189,"""5,4,30,4,3,35,6,5,28,7,3,25,5,4,30,4,5,35,6,3,28,4,5,35,6,4,30,4,5,35,5,4,30,6,3,35,4,4,30,5,3,28""","""5,4,30,4,3,35,6,5,28,7,3,25,5,4,30,4,5,35,6,3,28,4,5,35,6,4,30,4,5,35,5,4,30,6,3,35,4,4,30,5,3,28""","""0.7,85,10,0.5,75,8,0.8,90,12,0.6,80,7,0.9,85,10,0.7,75,8,0.8,80,12,0.6,75,8,0.8,85,12,0.9,90,8,0.7,85,12,0.9,78,9,0.7,82,7,0.8,75,10""","""type of food/food portions,number of meals/number of meals (day),fiber_amount/Grams of fiber per day""","""3,7,3,5,25,40""","""0.5,1,70,100,5,15""","""Weight Loss/Kilograms(week),Nutritional Quality/Nutritional Quality Index(day),Cost of the Diet/Cost per Day (USD)""","""""","""2024-09-19 13:17:37""",667c18ace97ab6869cb1c50e,"""2024-09-19 13:32:43""","""minimize,maximize,minimize""",1,"""""","""9""","""2024-09-19 13:04:15""","""2""",1,3,"""2024-09-19 12:57:58"""
190,"""""","""""","""""","""""","""""","""""","""""","""""","""""",54f8b0cdfdf99b5396a7d0a2,"""""","""""",1,"""""","""""","""2024-09-19 12:53:24""","""1""",2,3,""""""
191,"""""","""""","""""","""calories per day/kcal,gym exercise/minutes,running/m""","""1800,2800,10,60,500,3500""","""5,30,1,10,1,10""","""lose weight/kg,strength,eating fatty foods""","""""","""2024-09-19 13:59:30""",66cb931964526ff412e871fd,"""""","""maximize,maximize,minimize""",1,"""""","""""","""2024-09-19 13:17:25""","""2""",1,0,"""2024-09-19 13:17:12"""
192,"""""","""""","""""","""""","""""","""""","""""","""""","""""",66bcdf26b58d32e7efba9469,"""""","""""",1,"""""","""""","""2024-09-19 13:01:23""","""2""",2,3,""""""
193,"""5,2,5,3,7,4,7,4,6,4,6,3,7,4,6,4,7,3,8,4,6,4""","""5,2,5,3,7,4,7,4,6,4,6,3,7,4,6,4,7,3,8,4,6,4""","""6,3,6,2,5,2,7,3,7,3,7,4,6,2,6,4,7,2,7,3,6,3""","""fruits/euros,fruits durability/days""","""1,10,1,5""","""1,10,1,5""","""fruits/euros,fruits durability/days""","""""","""2024-09-19 13:17:20""",66d94df339b9e84bce29d8e3,"""2024-09-19 13:25:08""","""maximize,maximize""",1,"""""","""""","""2024-09-19 13:07:17""","""2""",1,3,""""""
194,"""150,100,70,150,120,65,120,80,52,115,180,60,160,180,100,190,60,50,180,180,90,170,100,50,117,115,52,112,95,80,180,180,60,125,125,51,118,60,70,140,90,65""","""150,100,70,150,120,65,120,80,52,115,180,60,160,180,100,190,60,50,180,180,90,170,100,50,117,115,52,112,95,80,180,180,60,125,125,51,118,60,70,140,90,65""","""4,200,3,35,4,300,4,250,4,300,4,200,4,150,4,300,3,290,4,245,4,300,3,180,4,15,4,300""","""Eat protein/grams,exercise/minutes,carbonhydrate/grams""","""100,200,60,180,50,100""","""2,4,15,350""","""loose weight/lbs,balance estrogene level/pg/ml""","""""","""2024-09-19 13:44:08""",651fbf405f6a2b4756a93b5a,"""2024-09-19 14:00:13""","""maximize,maximize""",1,"""""","""2""","""2024-09-19 13:04:51""","""1""",2,3,"""2024-09-19 13:27:07"""
195,"""""","""""","""""","""weight,strength""","""20,50,10,70""","""55,100,45,90""","""gain,loss""","""""","""2024-09-19 13:19:24""",66c250e068e7a1f68e27e49b,"""""","""minimize,minimize""",1,"""""","""""","""2024-09-19 13:12:34""","""2""",1,3,""""""
196,"""""","""""","""""","""""","""""","""""","""""","""""","""""",668bf5474a2939ef58354d28,"""""","""""",1,"""""","""""","""2024-09-19 13:05:48""","""1""",2,0,"""2024-09-19 13:16:26"""
197,"""""","""""","""""","""""","""""","""""","""""","""""","""""",638fdf87700dd1228bade2e1,"""""","""""",1,"""""","""""","""2024-09-19 13:12:15""","""2""",1,3,""""""
198,"""10,10,100,1,90,2,100,8,50,5,20,5,60,4,60,8,1,1,25,7.5""","""10,10,100,1,90,2,100,8,50,5,20,5,60,4,60,8,1,1,25,7.5""","""0,0,5,10,5,9,4.5,10,2.5,5,4,7.5,3.5,7,2,6,5,2,0.5,2""","""Cost /Money,Taste/Pleasantness""","""0,100,1,10""","""0,5,0,10""","""Weight loss/kg,Health""","""""","""2024-09-19 13:32:25""",6661c610c372750fe6bbc879,"""2024-09-19 13:42:55""","""maximize,maximize""",1,"""""","""""","""2024-09-19 13:11:13""","""1""",2,3,"""2024-09-19 13:19:13"""
199,"""50,200,150,200,125,175,100,150,100,150,75,140,50,50,50,100,50,125,75,140""","""50,200,150,200,125,175,100,150,100,150,75,140,50,50,50,100,50,125,75,140""","""20,20,100,40,80,38,80,35,80,30,80,25,20,20,50,20,50,20,75,22""","""Carbs,Protein""","""50,150,50,200""","""0,100,20,40""","""Deadlift Weight/kg,Waist Size/inch""","""""","""2024-09-19 13:29:27""",6156fef09d1ab07148870099,"""2024-09-19 13:35:14""","""maximize,minimize""",1,"""""","""9""","""2024-09-19 13:13:11""","""1""",1,3,"""2024-09-19 13:22:11"""
200,"""400,65,350,55,300,50,250,40,200,40,100,40,200,45,300,50,250,55,400,50""","""400,65,350,55,300,50,250,40,200,40,100,40,200,45,300,50,250,55,400,50""","""10,4,8,3,6,3,5,2,4,2,2,2,5,2,6,3,6,2,8,4""","""calorie deficit/kcal,share of protein in the diet/g/day""","""100,400,40,65""","""2,10,2,4""","""weight loss/kg,time to prepare a meal/h""","""""","""2024-09-19 13:41:32""",6657401a0bc29f6dd5d2225f,"""2024-09-19 13:48:25""","""maximize,minimize""",1,"""""","""0""","""2024-09-19 13:24:38""","""2""",2,3,""""""
201,"""""","""""","""""","""""","""""","""""","""""","""""","""""",66e1dafefc1b4494c8365ff4,"""""","""""",1,"""""","""""","""2024-09-19 13:14:02""","""1""",1,0,"""2024-09-19 13:35:03"""
202,"""""","""""","""""","""""","""""","""""","""""","""""","""""",5fa94ee12438bf08ad45f75f,"""""","""""",1,"""""","""""","""2024-09-19 13:14:16""","""1""",2,3,""""""
203,"""25,26,20,24,31,27,30,25,25,29,18,26,17,24,19,22,32,28,32,24""","""25,26,20,24,31,27,30,25,25,29,18,26,17,24,19,22,32,28,32,24""","""30,34,28,29,34,32,27,33,35,32,36,36,30,32,31,32,36,34,28,31""",""",""","""14,34,20,30""","""18,40,25,38""",""",""","""""","""2024-09-19 13:50:43""",65feaaac53eb219f09ad5ea0,"""2024-09-19 14:00:58""","""minimize,minimize""",1,"""""","""3""","""2024-09-19 13:43:01""","""2""",1,3,"""2024-09-19 13:33:38"""
204,"""8,10,3,2,5,15,4,2,7,20,4,3,9,18,4,2,6,11,2,3,9,11,4,3,4,10,2,1,6,11,2,2,7,12,2,1,7,15,2,2,6,15,2,3,9,19,3,3,6,10,2,2,8,15,2,1,7,20,3,1,9,10,3,2,4,11,2,2,6,20,2,1""","""8,10,3,2,5,15,4,2,7,20,4,3,9,18,4,2,6,11,2,3,9,11,4,3,4,10,2,1,6,11,2,2,7,12,2,1,7,15,2,2,6,15,2,3,9,19,3,3,6,10,2,2,8,15,2,1,7,20,3,1,9,10,3,2,4,11,2,2,6,20,2,1""","""5,30,4,1,4,25,4,1,3,20,3,1,7,30,3,1,4,25,3,2,6,35,3,1,8,40,5,2,3,21,3,0.5,6,20,5,1,7,30,5,0.5,4,20,4,2,7,30,4,1,3,25,3,2,4,30,3,1,6,30,3,1,4,20,4,1,5,25,5,1,3,40,3,1""","""Fat Ratio/Calories,Carbohydrate Ratio/Calories,Meal Frequency/Meal/Day,Portion Size/Kilograms""","""4,10,10,20,2,4,1,3""","""3,8,20,40,3,5,0.5,2""","""Fat Ratio/Calories,Carbohydrate Ratio/Calories,Meal Frequency/Meal/Day,Portion Size/Kilograms""","""""","""2024-09-19 13:39:10""",6658c1d8934ec07966372945,"""2024-09-19 14:00:11""","""minimize,minimize,maximize,minimize""",1,"""""","""16""","""2024-09-19 13:21:07""","""2""",2,3,""""""
205,"""100,60,1500,100,50,1500,80,60,1600,85,60,1400,100,50,1500,90,60,1500,60,60,1500,100,50,1500,100,70,1500,100,50,1400,90,60,1600,100,70,1500,95,60,1450,90,40,1350""","""100,60,1500,100,50,1500,80,60,1600,85,60,1400,100,50,1500,90,60,1500,60,60,1500,100,50,1500,100,70,1500,100,50,1400,90,60,1600,100,70,1500,95,60,1450,90,40,1350""","""1500,7,1500,7,1500,7,1400,8,1500,7,1500,7,1500,6,1500,7,1500,8,1500,8,1600,7,1500,8,1450,7,1350,7""","""Protein intake/Grams,Fat intake/Grams,Caloric intake/Grams""","""40,130,30,90,1000,2000""","""1000,2000,5,10""","""Caloric intake/Grams,Satiety Level/score 1- 10""","""""","""2024-09-19 13:50:12""",6697ce68821b799a1597abd5,"""2024-09-19 14:03:51""","""minimize,maximize""",1,"""""","""3""","""2024-09-19 13:29:18""","""2""",1,3,""""""
206,"""100,30,100,30,90,25,65,17,74,23,87,21,88,28,99,21,73,16,77,29,95,22""","""100,30,100,30,90,25,65,17,74,23,87,21,88,28,99,21,73,16,77,29,95,22""","""5,30,10,70,9,65,6,61,8,54,9,53,5,67,6,60,7,57,8,55,8,45""","""Fruits and vegetable costs/Euro,Fruits and vegetable durability/Days""","""50,100,15,30""","""5,10,30,70""","""freshness,Satisfaction""","""""","""2024-09-19 13:40:07""",60e2dfb351b130a2e75794c4,"""2024-09-19 13:53:19""","""minimize,minimize""",1,"""""","""""","""2024-09-19 13:27:13""","""2""",2,3,""""""
207,"""""","""""","""""","""""","""""","""""","""""","""""","""""",66420fa0ed887b72b989c4af,"""""","""""",1,"""""","""""","""2024-09-19 13:18:14""","""1""",1,3,""""""
208,"""1900,5,1600,5,1400,4,1800,6,1500,3,1700,4,1550,6,1900,6,1200,4,1800,5""","""1900,5,1600,5,1400,4,1800,6,1500,3,1700,4,1550,6,1900,6,1200,4,1800,5""","""2,80,1,95,2,85,1.5,90,1.5,80,2,100,1,85,3,90,2,90,3,92""","""Caloric Intake/kcal/day,Meal Frequency""","""1200,2000,3,6""","""1,3,80,100""","""Weight Loss/kg/month,Nutrient Adequacy/%""","""""","""2024-09-19 13:55:41""",6497e970e2621e753513a695,"""2024-09-19 14:06:54""","""maximize,maximize""",1,"""""","""5""","""2024-09-19 13:39:57""","""2""",2,3,"""2024-09-19 13:27:55"""
209,"""""","""""","""""","""""","""""","""""","""""","""""","""""",66acefa0129f2d753b6da625,"""""","""""",1,"""""","""""","""2024-09-19 13:19:51""","""1""",1,0,"""2024-09-19 13:31:23"""
210,"""""","""""","""""","""""","""""","""""","""""","""""","""""",6669e35a960b59da6428cb3d,"""""","""""",1,"""""","""""","""2024-09-19 13:21:30""","""1""",2,3,"""2024-09-19 13:51:03"""
211,"""1700,1,2000,3,1800,1,1800,1,1500,1,1700,1,1600,3,1600,3,1600,2,1800,2""","""1700,1,2000,3,1800,1,1800,1,1500,1,1700,1,1600,3,1600,3,1600,2,1800,2""","""0.8,3,1.2,4,1,3,0.7,1.5,1,2,0.9,3,1,4,1.2,3.5,0.8,4,1,3""","""Caloric Intake/Per day,Physical activity/hr/Per day""","""1500,2000,1,3""","""0.7,1.3,1.5,4""","""Weight loss rate/kg/Per week,Muscle growth/lbs/Per month""","""""","""2024-09-19 13:49:40""",5f600669b846780f0fe45709,"""2024-09-19 13:57:35""","""minimize,minimize""",1,"""""","""""","""2024-09-19 13:33:32""","""2""",1,3,""""""
212,"""""","""""","""""","""""","""""","""""","""""","""""","""""",66928067261ded863ece488a ,"""""","""""",1,"""""","""""","""2024-09-19 13:29:39""","""1""",2,0,"""2024-09-19 13:39:57"""
213,"""""","""""","""""","""""","""""","""""","""""","""""","""""",5ef647ec3ce68a1178780f5a,"""""","""""",1,"""""","""""","""2024-09-19 13:30:17""","""1""",1,3,""""""
214,"""""","""""","""""","""material strength/5,material density/5""","""5,15,10,50""","""""","""""","""""","""""",6666949443ecd899a13da201,"""""","""""",1,"""""","""""","""2024-09-19 14:03:52""","""2""",2,3,"""2024-09-19 14:03:41"""
215,"""1500,2,3,1500,2,2,1600,3,4,2000,3,3,1800,2,4,1400,3,3,2000,2,3,1900,2,3,2100,2,2,1300,2,3,2000,3,5,2100,2,4,2200,2,3,2000,3,3""","""1500,2,3,1500,2,2,1600,3,4,2000,3,3,1800,2,4,1400,3,3,2000,2,3,1900,2,3,2100,2,2,1300,2,3,2000,3,5,2100,2,4,2200,2,3,2000,3,3""","""2,5,4,2,5,5,7,7,4,7,8,5,7,9""","""calorie content of the diet\n/kcal,water consumption\n/liter,meal frequency""","""200,2500,1,3,1,5""","""1,36""","""weight loss""","""""","""2024-09-19 13:54:11""",5dafea4de40355001651fa2f,"""2024-09-19 14:01:07""","""minimize""",1,"""""","""10""","""2024-09-19 13:35:00""","""1""",1,3,"""2024-09-19 13:38:19"""
216,"""1200,4,1100,5,1300,5,1400,7,1450,7,1000,7,1100,4,1250,7,1450,4,1250,5""","""1200,4,1100,5,1300,5,1400,7,1450,7,1000,7,1100,4,1250,7,1450,4,1250,5""","""6,10,7,3,8,4,10,5,5,4,10,7,6,7,7,6,6,4,6,4""","""Caloric Intake/calories,Hydration/litres""","""1000,1500,2,10""","""5,10,1,15""","""Weight Loss rate/kg,Hydration timing/hours""","""""","""2024-09-19 14:04:49""",663e222c34bca8dd891321ce,"""2024-09-19 14:11:53""","""minimize,maximize""",1,"""""","""4""","""2024-09-19 13:56:49""","""2""",2,3,""""""
217,"""""","""""","""""","""""","""""","""""","""""","""""","""""",testfault,"""""","""""",1,"""""","""""","""2024-09-19 13:47:42""","""1""",1,0,"""2024-09-19 13:48:02"""
218,"""""","""""","""""","""""","""""","""""","""""","""""","""""",zsdafqgeasdgsdf,"""""","""""",1,"""""","""""","""2024-09-19 13:49:50""","""1""",2,0,"""2024-09-19 13:50:39"""
219,"""""","""""","""""","""""","""""","""""","""""","""""","""""",testfault2,"""""","""""",1,"""""","""""","""2024-09-19 14:31:56""","""1""",1,0,"""2024-09-19 13:52:37"""
220,"""""","""""","""""","""""","""""","""""","""""","""""","""""",66672a872234bbaa5602456f,"""""","""""",1,"""""","""""","""2024-09-19 14:14:47""","""1""",2,0,"""2024-09-19 14:26:32"""
221,"""""","""""","""""","""""","""""","""""","""""","""""","""""",63469da3cef76cc5b3523b97,"""""","""""",1,"""""","""""","""2024-09-19 14:52:38""","""1""",1,0,"""2024-09-19 14:56:24"""
222,"""""","""""","""""","""Weight to lose/kg,Daily calories intake/cal,Carboidrates/g""","""8,15,1800,2300,100,200""","""150,300,50,75""","""Daily proteins intake/g,Daily fibers intake/g""","""""","""2024-09-19 15:13:58""",5b6f2884c727a90001529ef0,"""""","""maximize,maximize""",1,"""""","""""","""2024-09-19 15:09:08""","""1""",2,3,"""2024-09-19 15:09:54"""
223,"""""","""""","""""","""Daily Calorie Intake/kcal,Protein Percentage/%,Carbohydrate Percentage/%,Fat Percentage/%""","""1800,2500,10,25,20,60,5,20""","""1,3,100,200""","""Weight Loss/kilograms ,Food cost/Dollars""","""""","""2024-09-19 15:14:09""",650b03136ab3d4c832d98b71,"""""","""maximize,minimize""",1,"""""","""""","""2024-09-19 14:53:54""","""1""",1,3,"""2024-09-19 15:01:06"""
224,"""10,15,5,10,10,15,5,15,5,18,5,20,4,16,7,20,10,30,9,26""","""10,15,5,10,10,15,5,15,5,18,5,20,4,16,7,20,10,30,9,26""","""4,40,5,50,4,30,4,30,4,35,5,50,2,35,4,30,5,45,5,50""","""Exercise/kg,Walking/km""","""1,10,10,30""","""1,5,20,50""","""lose weight/kg,stay healthy/percent""","""""","""2024-09-19 15:27:19""",5da5fdef9a9dc5001484350b,"""2024-09-19 15:43:23""","""maximize,maximize""",1,"""""","""1""","""2024-09-19 15:33:26""","""2""",2,3,"""2024-09-19 15:25:31"""
225,"""""","""""","""""","""""","""""","""""","""""","""""","""""",5dd05d80b2204f1487f7812c,"""""","""""",1,"""""","""""","""2024-09-19 15:13:17""","""1""",1,3,"""2024-09-19 15:14:57"""
226,"""""","""""","""""","""""","""""","""""","""""","""""","""""",66a7abb383fda32ced03e410,"""""","""""",1,"""""","""""","""2024-09-19 14:53:36""","""1""",2,3,"""2024-09-19 15:01:37"""
227,"""2000,100,100,250,1500,60,25,100,2500,100,30,100,1200,50,20,100,2500,50,100,300,1700,150,30,100,2000,90,40,120,2200,100,25,300,2500,160,100,250,1800,100,60,200,2100,150,85,250,2250,120,70,300,1600,80,50,180,1950,120,65,220,1700,90,55,190,2000,110,70,230,1400,50,20,100,1550,60,40,125""","""2000,100,100,250,1500,60,25,100,2500,100,30,100,1200,50,20,100,2500,50,100,300,1700,150,30,100,2000,90,40,120,2200,100,25,300,2500,160,100,250,1800,100,60,200,2100,150,85,250,2250,120,70,300,1600,80,50,180,1950,120,65,220,1700,90,55,190,2000,110,70,230,1400,50,20,100,1550,60,40,125""","""5,25,10,60,15,90,20,30,1,20,10,45,20,90,5,50,0,10,2,85,2,90,1,80,3,88,3,82,3,70,2,89,18,10,8,60""","""Daily Caloric Intake/kcal,Protein Intake,Fat Intake,Carbohydrate intake""","""1200,2500,50,200,20,100,100,300""","""0,20,1,100""","""Weight loss/kg,Nutritional Balance/score""","""""","""2024-09-19 15:34:50""",667d419d4bbadc60b6a75b3f,"""2024-09-19 15:48:19""","""maximize,maximize""",1,"""""","""""","""2024-09-19 15:29:58""","""1""",1,3,""""""
228,"""""","""""","""""","""""","""""","""""","""""","""""","""""",662f7dfccb0e2463554e8a19,"""""","""""",1,"""""","""""","""2024-09-19 14:54:00""","""1""",2,3,""""""
229,"""""","""""","""""","""""","""""","""""","""""","""""","""""",669a3ee91bd71209de5a97d9,"""""","""""",1,"""""","""""","""2024-09-19 15:43:36""","""1""",1,3,"""2024-09-19 15:46:27"""
230,"""""","""""","""""","""maximize nutrition,lift weights/pounds""","""1,15,15,60""","""0,5,5,25""","""eat healthily/kg,put on muscle/pounds""","""""","""2024-09-19 15:13:34""",6321d9c78e8e3c04f82a0ea0,"""""","""minimize,minimize""",1,"""""","""""","""2024-09-19 15:10:37""","""2""",2,3,""""""
231,"""""","""""","""""","""""","""""","""""","""""","""""","""""",5fd85707af5bd719a5e20419,"""""","""""",1,"""""","""""","""2024-09-19 14:59:22""","""1""",1,0,"""2024-09-19 15:10:07"""
232,"""""","""""","""""","""""","""""","""""","""""","""""","""""",66c4a32221f616ebf48ab21d,"""""","""""",1,"""""","""""","""2024-09-19 14:58:24""","""1""",2,3,""""""
233,"""1600,2.5,35,1650,3,38,1700,3.5,40,1760,3.9,42,1770,6,46,1800,5,50,1800,6,54,1900,6,60,1900,6,58,2000,6,59,2100,5,58,2200,6,60,1850,5,55,1920,5,56""","""1600,2.5,35,1650,3,38,1700,3.5,40,1760,3.9,42,1770,6,46,1800,5,50,1800,6,54,1900,6,60,1900,6,58,2000,6,59,2100,5,58,2200,6,60,1850,5,55,1920,5,56""","""5,9,5.5,9.5,5.7,9.6,6,10,6,11,7,12,8,12,10,14,11,14,11,16,11,15,11,20,10,12,10,12""","""Caloric Intake /\nCaloric/day,Water Intake/Liters/day,Duration of exercise /Min/day""","""1500,2200,2,6,30,60""","""4,12,8,24""","""Achieve Weight Loss/Kg,Balance energy level throughout the day/Hour""","""""","""2024-09-19 15:59:47""",65f34ad95a4680b824d01a83,"""2024-09-19 16:12:13""","""maximize,maximize""",1,"""""","""""","""2024-09-19 15:41:07""","""1""",1,3,"""2024-09-19 15:42:23"""
234,"""""","""""","""""","""""","""""","""""","""""","""""","""""",5b69e50eee7ae000017bd038,"""""","""""",1,"""""","""""","""2024-09-19 15:23:33""","""1""",2,0,"""2024-09-19 15:33:31"""
235,"""10,4,5,2,5,3,10,3,7,3,7,2,9,3,5,3,4,3,5,3""","""10,4,5,2,5,3,10,3,7,3,7,2,9,3,5,3,4,3,5,3""","""1,5,1,5,3,6,3,5,3,6,2,5,3,5,3,5,3,6,3,6""","""Lose weight/Kg,Frequency of eating/Per day""","""1,10,1,4""","""1,4,5,10""","""Small Portions,Overeating""","""""","""2024-09-19 15:43:04""",6673902c96ffd6a12297cba3,"""2024-09-19 16:00:34""","""maximize,minimize""",1,"""""","""3""","""2024-09-19 15:20:00""","""2""",1,3,""""""
236,"""""","""""","""""","""excercise/hours,fasting/hours""","""1,5,16,36""","""1300,1800,0.5,1""","""burn fat/calories,minimize weight/kg""","""""","""2024-09-19 15:19:35""",65fb13bebfa339f73b4cf76a,"""""","""minimize,minimize""",1,"""""","""""","""2024-09-19 15:14:16""","""1""",2,3,""""""
237,"""""","""""","""""","""""","""""","""""","""""","""""","""""",66c5b1d52cc6911523bbd1f1,"""""","""""",1,"""""","""""","""2024-09-19 15:19:24""","""1""",1,3,"""2024-09-19 15:22:00"""
238,"""""","""""","""""","""""","""""","""""","""""","""""","""""",66d9596bc59d5b7770ba7bc0,"""""","""""",1,"""""","""""","""2024-09-19 15:20:24""","""1""",2,3,""""""
239,"""""","""""","""""","""""","""""","""""","""""","""""","""""",6661b3bccfa516ea302f4556,"""""","""""",1,"""""","""""","""2024-09-19 15:21:21""","""1""",1,0,"""2024-09-19 15:33:01"""
240,"""""","""""","""""","""""","""""","""""","""""","""""","""""",665a9ddb536966183500a7b1,"""""","""""",1,"""""","""""","""2024-09-19 15:23:23""","""1""",2,3,""""""
241,"""""","""""","""""","""""","""""","""""","""""","""""","""""",66b8830e5812d8df82589ef3,"""""","""""",1,"""""","""""","""2024-09-19 15:21:11""","""1""",1,3,"""2024-09-19 15:22:08"""
